0,2,4
192,17,12
193,13,17
194,17,4
195,11,5
196,12,5
197,11,16
198,16,7
199,3,20
200,8,6
201,7,16
202,6,12
203,12,5
204,6,20
205,9,3
206,15,13
207,12,4
208,8,15
209,10,8
210,16,17
211,20,12
212,5,16
213,17,6
214,4,17
215,15,18
216,12,5
217,16,20
218,15,11
219,13,20
220,20,14
221,6,17
222,6,5
223,16,21
224,17,4
225,12,10
226,16,6
227,21,12
228,20,17
229,12,2
230,12,20
231,16,0
232,6,12
233,5,6
234,20,9
235,3,20
236,11,20
237,17,6
238,12,5
239,10,11
240,12,6
241,1,6
242,17,10
243,5,20
244,5,16
245,15,4
246,5,8
247,10,15
248,8,18
249,12,7
250,3,5
251,12,5
252,16,12
253,4,12
254,1,2
255,21,4
256,3,5
257,5,12
258,4,16
259,11,20
260,4,5
261,17,16
262,9,20
263,11,20
264,18,2
265,6,5
266,11,18
267,5,13
268,11,5
269,15,5
270,17,2
271,5,6
272,15,17
273,8,5
274,1,20
275,13,5
276,20,12
277,17,9
278,6,2
279,5,4
280,12,3
281,13,18
282,10,18
283,9,13
284,17,2
285,17,16
286,6,4
287,20,16
288,4,2
289,6,0
290,5,1
291,16,20
292,9,5
293,13,17
294,12,16
295,11,15
296,6,5
297,15,20
298,6,15
299,17,16
300,4,13
301,17,5
302,9,6
303,12,7
304,4,20
305,8,17
306,20,5
307,7,4
308,5,18
309,5,13
310,8,11
311,5,16
312,16,11
313,4,5
314,14,6
315,3,5
316,5,4
317,20,15
318,12,15
319,7,16
320,12,1
321,4,5
322,16,8
323,9,5
324,19,11
325,16,11
326,15,7
327,17,13
328,9,3
329,20,5
330,20,16
331,4,8
332,16,5
333,17,6
334,15,20
335,4,12
336,2,4
337,17,13
338,12,6
339,5,17
340,2,13
341,5,17
342,6,9
343,16,17
344,3,6
345,5,2
346,12,5
347,16,13
348,12,17
349,3,20
350,16,2
351,4,7
352,3,5
353,15,12
354,5,6
355,19,15
356,6,17
357,12,17
358,5,1
359,20,5
360,12,5
361,10,4
362,6,13
363,20,17
364,1,17
365,16,13
366,20,13
367,5,6
368,11,20
369,6,18
370,13,11
371,5,16
372,3,18
373,6,12
374,18,12
375,2,12
376,15,13
377,13,9
378,5,9
379,2,11
380,13,7
381,16,11
382,13,18
383,12,3
384,4,20
385,15,6
386,16,12
387,15,16
388,17,6
389,17,5
390,10,5
391,8,2
392,1,15
393,5,11
394,5,20
395,2,11
396,6,4
397,5,12
398,8,2
399,1,17
400,5,16
401,16,12
402,6,11
403,16,15
404,6,21
405,12,20
406,4,6
407,13,12
408,18,1
409,12,2
410,20,1
411,9,12
412,5,8
413,4,11
414,16,17
415,16,7
416,6,12
417,17,5
418,12,5
419,5,17
420,6,13
421,2,15
422,4,13
423,5,17
424,6,17
425,6,1
426,12,16
427,15,5
428,18,17
429,15,17
430,15,8
431,16,6
432,13,12
433,8,5
434,18,16
435,13,12
436,14,8
437,20,11
438,5,20
439,12,17
440,16,13
441,4,5
442,17,12
443,16,2
444,3,2
445,4,8
446,21,16
447,2,15
448,17,12
449,17,6
450,12,11
451,4,2
452,6,5
453,12,16
454,7,12
455,12,7
456,20,13
457,12,6
458,2,17
459,18,21
460,6,5
461,16,15
462,8,18
463,18,16
464,16,5
465,13,12
466,15,6
467,12,1
468,12,5
469,12,16
470,5,13
471,11,12
472,20,17
473,3,6
474,10,12
475,15,10
476,12,20
477,12,21
478,2,10
479,16,7
480,5,17
481,5,16
482,9,14
483,4,12
484,20,4
485,7,5
486,15,20
487,20,8
488,13,17
489,16,1
490,11,4
491,7,5
492,12,15
493,5,13
494,15,5
495,17,18
496,12,6
497,20,1
498,6,15
499,18,13
500,18,17
501,3,9
502,5,8
503,17,5
504,3,2
505,12,21
506,20,0
507,5,12
508,16,4
509,8,5
510,14,17
511,5,16
512,12,16
513,1,12
514,8,20
515,13,5
516,2,6
517,15,6
518,20,8
519,12,16
520,8,16
521,18,16
522,21,5
523,6,21
524,7,4
525,5,2
526,4,17
527,20,10
528,12,17
529,12,2
530,5,6
531,18,4
532,5,2
533,4,12
534,17,3
535,18,3
536,12,6
537,5,16
538,21,5
539,2,4
540,20,13
541,16,3
542,12,18
543,15,17
544,11,16
545,15,2
546,10,20
547,1,20
548,14,3
549,20,1
550,13,1
551,4,21
552,5,6
553,17,16
554,4,14
555,9,21
556,2,16
557,20,9
558,16,12
559,16,5
560,17,14
561,4,20
562,6,5
563,16,4
564,17,20
565,4,16
566,4,6
567,17,8
568,17,13
569,12,13
570,15,6
571,11,17
572,12,16
573,16,15
574,6,20
575,12,16
576,16,0
577,8,17
578,12,15
579,6,7
580,3,16
581,16,5
582,8,17
583,7,18
584,6,20
585,18,5
586,6,11
587,17,14
588,16,17
589,16,6
590,12,6
591,4,1
592,5,20
593,21,4
594,5,6
595,12,15
596,8,20
597,6,20
598,13,17
599,12,6
600,20,16
601,2,11
602,16,15
603,13,5
604,21,20
605,17,4
606,17,7
607,15,6
608,4,6
609,20,1
610,16,5
611,17,11
612,13,1
613,12,11
614,4,5
615,2,6
616,12,20
617,5,16
618,4,1
619,16,12
620,13,17
621,8,18
622,16,5
623,8,5
624,15,11
625,7,17
626,6,5
627,15,8
628,12,20
629,17,12
630,20,2
631,6,13
632,17,5
633,16,5
634,20,6
635,1,20
636,16,5
637,11,15
638,20,5
639,6,1
640,16,12
641,11,17
642,4,20
643,5,16
644,20,7
645,6,4
646,20,6
647,17,16
648,2,5
649,17,4
650,3,11
651,12,4
652,16,6
653,3,16
654,13,10
655,15,7
656,12,16
657,4,6
658,12,13
659,12,11
660,7,20
661,6,13
662,8,17
663,17,8
664,10,2
665,4,6
666,14,4
667,16,5
668,8,6
669,4,5
670,9,5
671,17,5
672,5,11
673,13,12
674,4,16
675,20,8
676,19,12
677,6,5
678,16,7
679,17,6
680,5,16
681,6,20
682,21,3
683,15,3
684,12,20
685,5,3
686,2,1
687,20,14
688,13,16
689,16,5
690,20,17
691,12,6
692,2,8
693,1,11
694,16,15
695,18,20
696,6,12
697,14,20
698,13,17
699,2,5
700,20,12
701,5,4
702,20,17
703,4,12
704,15,5
705,20,16
706,16,3
707,7,17
708,5,16
709,6,16
710,3,20
711,17,16
712,10,20
713,15,11
714,5,6
715,2,5
716,15,3
717,7,18
718,5,20
719,20,5
720,8,6
721,10,17
722,15,5
723,20,17
724,18,21
725,3,6
726,14,18
727,6,20
728,2,4
729,6,16
730,9,3
731,19,8
732,12,20
733,3,5
734,11,16
735,5,12
736,8,5
737,13,18
738,1,5
739,20,6
740,10,5
741,17,20
742,17,16
743,2,13
744,5,4
745,21,16
746,6,18
747,10,19
748,13,1
749,9,15
750,18,16
751,11,15
752,21,1
753,13,4
754,9,4
755,9,11
756,16,12
757,4,12
758,12,5
759,13,7
760,20,16
761,16,5
762,10,8
763,18,2
764,11,1
765,21,19
766,15,5
767,13,12
768,16,3
769,17,10
770,6,11
771,15,6
772,12,9
773,17,16
774,13,2
775,11,6
776,17,10
777,6,11
778,4,17
779,6,16
780,20,10
781,9,20
782,19,5
783,1,16
784,6,10
785,18,20
786,15,5
787,17,4
788,11,4
789,16,12
790,16,12
791,4,12
792,8,18
793,4,20
794,21,16
795,6,12
796,16,12
797,16,1
798,3,10
799,15,6
800,16,6
801,16,17
802,7,15
803,12,13
804,6,21
805,16,20
806,12,17
807,6,10
808,17,5
809,10,6
810,6,16
811,11,13
812,16,17
813,4,11
814,5,20
815,17,2
816,17,16
817,2,5
818,12,20
819,16,0
820,16,5
821,5,17
822,2,6
823,10,16
824,20,5
825,17,12
826,10,13
827,12,7
828,6,16
829,8,4
830,12,1
831,5,16
832,13,12
833,11,16
834,7,6
835,12,7
836,5,20
837,8,15
838,13,6
839,5,2
840,6,5
841,10,12
842,4,15
843,18,1
844,16,17
845,13,10
846,14,7
847,15,8
848,16,18
849,17,12
850,16,5
851,1,2
852,20,16
853,10,5
854,17,1
855,17,12
856,6,16
857,1,16
858,13,16
859,8,17
860,16,12
861,4,6
862,17,20
863,17,1
864,5,6
865,1,12
866,5,4
867,15,12
868,20,5
869,5,1
870,5,6
871,15,13
872,20,2
873,6,5
874,20,16
875,6,4
876,16,12
877,18,8
878,16,5
879,16,14
880,1,20
881,20,5
882,6,16
883,6,1
884,1,2
885,17,11
886,20,4
887,1,16
888,15,2
889,5,7
890,6,20
891,12,8
892,17,20
893,15,2
894,17,7
895,16,2
896,21,5
897,15,10
898,4,16
899,7,12
900,6,12
901,16,2
902,5,12
903,15,2
904,16,6
905,5,20
906,6,20
907,7,15
908,13,1
909,17,5
910,5,15
911,20,9
912,10,20
913,12,20
914,4,7
915,17,15
916,16,17
917,10,3
918,7,20
919,5,14
920,15,16
921,20,13
922,8,20
923,5,10
924,5,17
925,20,10
926,20,15
927,2,8
928,7,1
929,5,16
930,4,1
931,1,9
932,12,15
933,6,12
934,17,18
935,4,13
936,4,20
937,13,4
938,2,15
939,12,16
940,3,8
941,0,9
942,12,20
943,11,7
944,3,16
945,13,7
946,13,0
947,6,9
948,20,16
949,6,17
950,16,15
951,5,4
952,4,13
953,2,9
954,11,16
955,17,5
956,4,21
957,4,2
958,20,13
959,16,2
960,16,15
961,6,12
962,15,9
963,5,0
964,16,5
965,17,16
966,3,18
967,17,12
968,18,7
969,5,9
970,16,1
971,12,11
972,7,6
973,20,16
974,1,8
975,8,6
976,16,5
977,6,17
978,17,4
979,5,15
980,1,2
981,2,11
982,16,2
983,12,18
984,15,2
985,12,15
986,3,20
987,9,15
988,11,9
989,17,20
990,6,7
991,4,5
992,1,13
993,12,1
994,6,15
995,13,16
996,7,5
997,11,17
998,15,7
999,21,16
1000,6,12
1001,5,16
1002,21,18
1003,6,16
1004,16,11
1005,6,3
1006,18,17
1007,1,12
1008,20,6
1009,17,13
1010,6,16
1011,20,6
1012,12,5
1013,7,4
1014,17,15
1015,17,2
1016,7,13
1017,4,14
1018,3,16
1019,6,20
1020,21,12
1021,12,15
1022,6,7
1023,15,4
1024,20,15
1025,3,15
1026,12,4
1027,9,10
1028,13,17
1029,11,13
1030,6,17
1031,19,20
1032,13,6
1033,6,13
1034,20,5
1035,4,17
1036,15,12
1037,17,18
1038,6,15
1039,6,4
1040,15,17
1041,6,9
1042,4,15
1043,4,11
1044,12,17
1045,12,19
1046,13,12
1047,20,10
1048,9,4
1049,12,15
1050,16,11
1051,5,4
1052,3,8
1053,4,18
1054,2,10
1055,2,7
1056,5,17
1057,6,16
1058,16,10
1059,2,4
1060,17,20
1061,13,12
1062,12,16
1063,21,11
1064,17,7
1065,8,16
1066,20,17
1067,5,13
1068,10,8
1069,7,3
1070,4,6
1071,17,20
1072,2,16
1073,5,12
1074,11,4
1075,4,16
1076,6,17
1077,9,4
1078,1,6
1079,17,8
1080,6,13
1081,6,20
1082,17,13
1083,16,15
1084,18,12
1085,13,15
1086,3,13
1087,13,20
1088,16,20
1089,13,6
1090,14,16
1091,20,12
1092,4,1
1093,1,5
1094,20,16
1095,7,18
1096,16,9
1097,20,16
1098,15,20
1099,16,9
1100,4,12
1101,16,2
1102,12,20
1103,15,16
1104,17,16
1105,17,20
1106,16,13
1107,20,5
1108,2,9
1109,4,6
1110,12,4
1111,9,17
1112,4,11
1113,6,13
1114,5,4
1115,16,13
1116,12,6
1117,12,5
1118,2,19
1119,16,12
1120,20,1
1121,13,12
1122,6,12
1123,17,15
1124,13,5
1125,20,15
1126,15,16
1127,17,6
1128,12,17
1129,16,20
1130,4,16
1131,13,12
1132,16,8
1133,17,16
1134,17,7
1135,21,6
1136,11,10
1137,5,4
1138,13,17
1139,16,4
1140,13,4
1141,16,18
1142,16,20
1143,16,21
1144,16,17
1145,7,17
1146,7,5
1147,9,18
1148,11,17
1149,13,12
1150,13,17
1151,18,17
1152,20,11
1153,15,20
1154,2,16
1155,6,12
1156,0,6
1157,16,20
1158,4,8
1159,12,16
1160,3,18
1161,7,17
1162,11,16
1163,6,12
1164,12,11
1165,15,18
1166,20,5
1167,13,4
1168,15,20
1169,20,11
1170,12,18
1171,16,18
1172,16,17
1173,16,6
1174,18,3
1175,16,6
1176,11,17
1177,12,18
1178,4,16
1179,6,17
1180,5,4
1181,1,6
1182,15,5
1183,20,16
1184,4,20
1185,17,12
1186,4,5
1187,6,12
1188,20,10
1189,5,4
1190,20,19
1191,12,6
1192,6,5
1193,16,7
1194,16,20
1195,17,16
1196,1,3
1197,11,4
1198,5,21
1199,8,16
1200,16,12
1201,11,16
1202,2,20
1203,15,12
1204,21,16
1205,17,5
1206,7,4
1207,13,5
1208,20,8
1209,12,18
1210,20,0
1211,20,16
1212,5,2
1213,10,6
1214,16,12
1215,11,15
1216,3,16
1217,5,20
1218,20,5
1219,13,6
1220,2,12
1221,16,4
1222,3,6
1223,13,12
1224,12,6
1225,5,10
1226,12,1
1227,10,12
1228,20,4
1229,16,15
1230,12,17
1231,1,6
1232,21,5
1233,6,12
1234,5,12
1235,20,16
1236,16,3
1237,1,12
1238,5,4
1239,16,2
1240,16,12
1241,11,12
1242,13,6
1243,8,4
1244,1,17
1245,16,13
1246,5,6
1247,3,13
1248,9,15
1249,17,6
1250,4,17
1251,20,17
1252,5,12
1253,12,5
1254,15,13
1255,13,5
1256,13,17
1257,17,14
1258,16,20
1259,13,3
1260,17,5
1261,13,20
1262,11,12
1263,18,11
1264,18,5
1265,16,8
1266,13,4
1267,12,9
1268,8,17
1269,13,17
1270,19,4
1271,13,8
1272,20,3
1273,11,6
1274,12,15
1275,12,17
1276,16,20
1277,2,6
1278,17,15
1279,12,1
1280,17,16
1281,4,12
1282,3,4
1283,5,1
1284,20,9
1285,17,12
1286,20,13
1287,20,5
1288,20,17
1289,10,16
1290,3,12
1291,4,9
1292,6,13
1293,5,20
1294,17,4
1295,19,4
1296,20,16
1297,18,17
1298,9,0
1299,7,6
1300,5,16
1301,17,5
1302,12,6
1303,11,16
1304,2,16
1305,3,12
1306,4,6
1307,11,6
1308,16,15
1309,1,10
1310,17,14
1311,10,6
1312,16,5
1313,6,15
1314,13,9
1315,15,12
1316,13,16
1317,12,20
1318,12,20
1319,7,18
1320,16,1
1321,16,5
1322,12,6
1323,17,5
1324,6,11
1325,12,5
1326,7,20
1327,0,8
1328,2,6
1329,20,17
1330,4,12
1331,12,6
1332,15,13
1333,11,20
1334,2,5
1335,16,5
1336,16,13
1337,5,16
1338,17,8
1339,18,17
1340,5,10
1341,8,5
1342,16,12
1343,6,4
1344,9,20
1345,7,10
1346,12,16
1347,15,20
1348,15,7
1349,6,17
1350,14,12
1351,11,21
1352,3,6
1353,6,5
1354,17,9
1355,6,16
1356,15,13
1357,16,9
1358,16,6
1359,6,20
1360,10,1
1361,15,13
1362,18,12
1363,4,12
1364,20,17
1365,3,8
1366,8,9
1367,12,16
1368,17,12
1369,20,11
1370,4,8
1371,5,20
1372,16,18
1373,1,16
1374,19,16
1375,6,17
1376,0,13
1377,7,5
1378,7,20
1379,5,6
1380,12,15
1381,16,21
1382,6,16
1383,21,5
1384,16,20
1385,20,16
1386,4,5
1387,5,18
1388,10,16
1389,16,5
1390,2,13
1391,6,12
1392,6,7
1393,18,5
1394,16,2
1395,20,1
1396,16,6
1397,12,5
1398,21,17
1399,17,20
1400,17,20
1401,16,18
1402,19,6
1403,12,17
1404,5,18
1405,20,6
1406,12,20
1407,10,16
1408,17,12
1409,4,6
1410,10,2
1411,2,13
1412,2,17
1413,13,1
1414,11,13
1415,11,3
1416,16,12
1417,6,15
1418,4,12
1419,12,13
1420,5,2
1421,12,5
1422,6,16
1423,15,16
1424,16,15
1425,18,13
1426,13,15
1427,8,16
1428,17,1
1429,11,16
1430,3,15
1431,16,17
1432,7,3
1433,20,5
1434,15,12
1435,1,6
1436,12,11
1437,17,11
1438,13,4
1439,4,11
1440,17,15
1441,6,7
1442,1,17
1443,7,20
1444,16,15
1445,21,8
1446,6,4
1447,12,20
1448,5,17
1449,6,17
1450,20,2
1451,12,5
1452,15,17
1453,5,12
1454,13,8
1455,5,12
1456,12,1
1457,10,5
1458,20,13
1459,2,17
1460,7,12
1461,12,18
1462,5,16
1463,9,12
1464,9,4
1465,12,17
1466,11,7
1467,6,12
1468,4,18
1469,8,4
1470,10,18
1471,17,16
1472,6,12
1473,13,4
1474,16,5
1475,5,21
1476,7,4
1477,17,3
1478,16,20
1479,16,5
1480,16,6
1481,6,4
1482,8,20
1483,20,4
1484,3,16
1485,20,21
1486,5,19
1487,5,17
1488,12,16
1489,4,10
1490,16,2
1491,15,4
1492,19,15
1493,12,20
1494,4,16
1495,16,13
1496,12,16
1497,9,15
1498,2,16
1499,17,5
1500,20,2
1501,1,15
1502,21,6
1503,16,12
1504,12,16
1505,4,12
1506,4,12
1507,5,6
1508,16,17
1509,17,16
1510,20,6
1511,12,15
1512,16,12
1513,4,16
1514,7,17
1515,21,2
1516,10,17
1517,11,2
1518,15,6
1519,15,16
1520,17,13
1521,16,20
1522,6,5
1523,5,17
1524,15,4
1525,13,7
1526,5,15
1527,5,12
1528,12,5
1529,13,1
1530,16,5
1531,3,16
1532,13,17
1533,5,17
1534,8,20
1535,12,16
1536,1,20
1537,5,6
1538,12,17
1539,6,20
1540,8,1
1541,17,5
1542,4,2
1543,1,17
1544,14,16
1545,12,8
1546,6,4
1547,18,20
1548,5,6
1549,16,5
1550,11,7
1551,20,16
1552,2,20
1553,3,13
1554,4,2
1555,11,15
1556,5,1
1557,15,13
1558,2,21
1559,3,5
1560,17,6
1561,1,5
1562,17,20
1563,16,8
1564,21,12
1565,16,21
1566,17,16
1567,10,5
1568,6,17
1569,15,16
1570,16,13
1571,20,5
1572,10,12
1573,17,5
1574,5,15
1575,20,15
1576,17,6
1577,17,21
1578,18,17
1579,13,15
1580,20,16
1581,16,5
1582,5,13
1583,13,17
1584,10,12
1585,16,17
1586,12,20
1587,20,17
1588,4,21
1589,11,12
1590,10,3
1591,15,12
1592,21,20
1593,20,13
1594,20,17
1595,10,17
1596,13,20
1597,8,20
1598,3,5
1599,5,4
1600,9,16
1601,5,10
1602,15,3
1603,9,12
1604,17,15
1605,20,18
1606,6,11
1607,15,16
1608,5,20
1609,6,14
1610,17,4
1611,16,20
1612,21,20
1613,6,5
1614,6,16
1615,17,12
1616,20,10
1617,13,20
1618,16,2
1619,5,1
1620,17,6
1621,17,9
1622,4,20
1623,18,11
1624,5,17
1625,13,11
1626,4,20
1627,7,13
1628,15,5
1629,21,16
1630,16,12
1631,20,4
1632,6,21
1633,4,6
1634,13,16
1635,5,12
1636,17,16
1637,17,5
1638,11,20
1639,13,12
1640,13,11
1641,4,7
1642,3,5
1643,12,4
1644,17,13
1645,12,16
1646,16,12
1647,6,4
1648,2,18
1649,12,7
1650,6,10
1651,15,11
1652,11,16
1653,6,17
1654,12,17
1655,20,11
1656,12,1
1657,12,3
1658,11,15
1659,18,5
1660,16,18
1661,1,17
1662,5,15
1663,9,13
1664,8,12
1665,18,11
1666,5,15
1667,7,16
1668,12,7
1669,6,7
1670,17,21
1671,17,1
1672,20,13
1673,16,2
1674,0,5
1675,1,6
1676,4,17
1677,11,6
1678,6,12
1679,3,17
1680,16,20
1681,20,2
1682,20,16
1683,15,16
1684,0,4
1685,17,16
1686,16,15
1687,2,5
1688,12,20
1689,20,12
1690,8,17
1691,20,16
1692,14,1
1693,12,5
1694,1,4
1695,5,12
1696,4,6
1697,13,5
1698,5,12
1699,12,5
1700,2,20
1701,15,1
1702,5,15
1703,6,3
1704,3,15
1705,9,4
1706,20,0
1707,12,21
1708,15,4
1709,16,10
1710,11,3
1711,9,11
1712,11,20
1713,16,20
1714,17,16
1715,4,20
1716,10,16
1717,11,20
1718,12,6
1719,13,12
1720,3,17
1721,6,15
1722,4,8
1723,6,13
1724,13,15
1725,7,4
1726,18,16
1727,15,6
1728,6,4
1729,10,5
1730,20,5
1731,15,8
1732,20,5
1733,17,2
1734,12,18
1735,15,12
1736,6,4
1737,17,5
1738,21,20
1739,8,16
1740,6,1
1741,8,20
1742,17,20
1743,16,6
1744,16,13
1745,9,11
1746,6,12
1747,4,16
1748,4,12
1749,8,20
1750,5,11
1751,20,18
1752,16,10
1753,13,20
1754,5,16
1755,11,3
1756,9,17
1757,6,12
1758,7,15
1759,17,12
1760,20,16
1761,13,7
1762,2,6
1763,3,12
1764,7,15
1765,17,7
1766,18,15
1767,11,16
1768,17,20
1769,4,20
1770,16,13
1771,8,5
1772,11,6
1773,15,16
1774,2,10
1775,8,17
1776,4,5
1777,12,11
1778,16,5
1779,17,20
1780,20,14
1781,5,1
1782,2,9
1783,6,5
1784,4,2
1785,5,4
1786,10,5
1787,17,2
1788,5,16
1789,7,16
1790,3,20
1791,13,6
1792,18,16
1793,16,13
1794,16,13
1795,17,19
1796,16,17
1797,8,3
1798,5,15
1799,5,15
1800,2,19
1801,20,16
1802,5,4
1803,21,12
1804,13,17
1805,12,2
1806,12,17
1807,17,20
1808,2,6
1809,4,16
1810,12,4
1811,6,11
1812,9,8
1813,16,6
1814,20,17
1815,20,5
1816,12,5
1817,2,16
1818,4,6
1819,16,7
1820,16,5
1821,16,5
1822,13,4
1823,1,16
1824,12,13
1825,17,1
1826,10,4
1827,5,8
1828,3,20
1829,10,12
1830,5,18
1831,3,6
1832,12,5
1833,4,8
1834,16,17
1835,15,20
1836,8,17
1837,1,13
1838,4,3
1839,3,17
1840,20,12
1841,4,17
1842,13,9
1843,4,11
1844,2,15
1845,15,13
1846,15,6
1847,17,8
1848,3,14
1849,12,6
1850,8,20
1851,10,12
1852,6,21
1853,12,16
1854,15,5
1855,7,20
1856,11,16
1857,18,20
1858,15,16
1859,11,5
1860,20,5
1861,12,5
1862,18,2
1863,12,17
1864,0,18
1865,5,8
1866,2,9
1867,9,17
1868,12,8
1869,12,18
1870,6,4
1871,12,16
1872,3,11
1873,5,17
1874,12,5
1875,13,20
1876,6,10
1877,3,12
1878,17,3
1879,7,20
1880,8,13
1881,1,18
1882,16,9
1883,12,14
1884,11,12
1885,18,1
1886,4,18
1887,16,12
1888,5,20
1889,12,11
1890,10,15
1891,21,7
1892,5,12
1893,20,18
1894,4,3
1895,12,4
1896,3,20
1897,12,8
1898,6,5
1899,6,5
1900,1,20
1901,20,12
1902,4,5
1903,20,15
1904,16,17
1905,15,6
1906,12,18
1907,16,12
1908,9,16
1909,5,12
1910,3,7
1911,12,20
1912,6,5
1913,12,15
1914,5,16
1915,20,16
1916,20,4
1917,16,10
1918,13,8
1919,13,16
1920,20,6
1921,1,10
1922,5,4
1923,6,4
1924,18,16
1925,21,17
1926,14,6
1927,17,20
1928,2,12
1929,14,12
1930,20,15
1931,17,20
1932,16,20
1933,13,16
1934,16,10
1935,11,1
1936,13,17
1937,6,3
1938,2,6
1939,17,7
1940,20,15
1941,12,18
1942,12,13
1943,2,0
1944,20,13
1945,4,7
1946,18,20
1947,16,15
1948,4,5
1949,5,6
1950,12,17
1951,1,11
1952,15,16
1953,8,7
1954,8,6
1955,17,12
1956,11,2
1957,1,7
1958,2,17
1959,6,19
1960,11,16
1961,16,13
1962,11,16
1963,8,20
1964,5,12
1965,13,16
1966,12,5
1967,11,15
1968,17,1
1969,16,13
1970,17,20
1971,13,12
1972,9,12
1973,15,9
1974,5,9
1975,15,4
1976,12,11
1977,20,12
1978,12,6
1979,5,17
1980,20,6
1981,17,20
1982,2,15
1983,1,20
1984,20,9
1985,5,21
1986,20,12
1987,15,16
1988,16,4
1989,11,6
1990,16,3
1991,5,16
1992,17,12
1993,8,20
1994,6,2
1995,21,12
1996,12,17
1997,2,3
1998,12,16
1999,1,13
2000,3,13
2001,12,2
2002,11,16
2003,13,17
2004,20,17
2005,5,16
2006,13,11
2007,17,3
2008,5,12
2009,6,12
2010,16,2
2011,18,13
2012,13,16
2013,2,20
2014,20,12
2015,12,18
2016,13,5
2017,20,16
2018,1,4
2019,5,17
2020,12,10
2021,11,5
2022,17,16
2023,11,17
2024,16,12
2025,3,1
2026,3,15
2027,17,2
2028,12,18
2029,16,12
2030,20,6
2031,6,0
2032,20,1
2033,12,15
2034,16,2
2035,21,20
2036,2,9
2037,20,12
2038,12,16
2039,17,5
2040,15,14
2041,4,10
2042,16,20
2043,18,13
2044,17,2
2045,18,6
2046,20,7
2047,16,8
2048,5,4
2049,18,10
2050,18,4
2051,5,20
2052,17,5
2053,16,20
2054,12,20
2055,5,16
2056,21,8
2057,16,18
2058,4,2
2059,13,5
2060,3,12
2061,17,4
2062,16,13
2063,13,5
2064,20,5
2065,16,12
2066,15,20
2067,6,20
2068,17,12
2069,12,16
2070,16,12
2071,17,6
2072,6,13
2073,20,14
2074,12,17
2075,16,3
2076,16,2
2077,12,18
2078,17,5
2079,4,17
2080,16,12
2081,12,20
2082,4,17
2083,13,16
2084,15,6
2085,0,17
2086,3,12
2087,16,20
2088,17,6
2089,16,6
2090,12,20
2091,6,12
2092,5,16
2093,17,6
2094,17,20
2095,3,16
2096,20,15
2097,6,17
2098,19,6
2099,12,17
2100,20,13
2101,6,12
2102,8,5
2103,12,6
2104,5,15
2105,18,17
2106,16,13
2107,11,7
2108,5,17
2109,17,4
2110,5,16
2111,5,4
2112,13,6
2113,20,15
2114,20,5
2115,9,4
2116,12,2
2117,15,10
2118,17,16
2119,6,5
2120,7,16
2121,16,9
2122,3,18
2123,12,20
2124,2,12
2125,15,6
2126,4,5
2127,12,11
2128,16,6
2129,6,5
2130,4,16
2131,11,5
2132,4,10
2133,19,12
2134,12,2
2135,13,12
2136,17,7
2137,15,16
2138,2,20
2139,10,16
2140,4,6
2141,20,1
